Agency;Rating;Outlook;Date
S&P;BB+;stable;Mar 23 2018
Fitch;BB+;stable;Jan 12 2018
S&P;BB;positive;Sep 22 2017
Moody's;Ba2;stable;Mar 10 2017
Fitch;BB;stable;Jan 27 2017
S&P;BB;stable;Dec 16 2016
Moody's;Ba2;negative;Mar 11 2016
Fitch;BB;negative;Jul 31 2015
S&P;BB;negative;Jul 17 2015
Fitch;BB;stable;Aug 09 2014
Fitch;BB;stable;Aug 08 2014
Moody's;Ba1;negative;Mar 21 2014
Fitch;BB+;negative;Feb 14 2014
S&P;BB;stable;Jan 24 2014
Fitch;BB+;stable;Sep 20 2013
S&P;BB+;negative;Aug 02 2013
Moody's;Ba1;stable;Feb 01 2013
S&P;BB+;stable;Dec 14 2012
Fitch;BBB-;negative;Nov 29 2012
Fitch;BBB-;stable;Sep 05 2012
Moody's;Baa3;negative;May 31 2012
S&P;BBB-;negative;Dec 21 2010
Fitch;BBB-;negative;May 21 2009
Moody's;Baa3;stable;Nov 19 2008
S&P;BBB;negative;Oct 27 2008
Moody's;Baa3;positive;Jul 18 2007
Fitch;BBB-;stable;Jul 06 2005
S&P;BBB;stable;Dec 22 2004
S&P;BBB-;positive;Jun 23 2004
Fitch;BBB-;positive;Jul 08 2003
Moody's;Baa3;stable;Jan 14 2002
Fitch;BBB-;stable;Jun 28 2001
S&P;BBB-;stable;Feb 09 2001
Fitch;BB+;positive;Sep 21 2000
Moody's;Baa3;negative;Jun 11 1999
S&P;BBB-;negative;Jun 03 1999
Fitch;BB+;n/a;Apr 29 1999
Moody's;Baa3;stable;Jan 27 1997
Fitch;BBB-;n/a;Jan 17 1997
S&P;BBB-;stable;Jan 17 1997
