Agency;Rating;Outlook;Date
Moody's;Baa3;stable;Apr 21 2017
Moody's;Baa3;positive;Dec 11 2015
S&P;BBB-;stable;May 16 2014
Moody's;Baa3;stable;Apr 25 2014
S&P;BB+;positive;Nov 22 2013
Moody's;Baa3;negative;Jun 29 2012
Fitch;BBB-;stable;Jul 04 2011
S&P;BB+;stable;Mar 09 2010
Fitch;BB+;stable;Feb 02 2010
Fitch;BB+;negative;Nov 09 2008
S&P;BB+;negative;Oct 27 2008
Fitch;BBB;negative;Jan 31 2008
S&P;BBB-;negative;Nov 06 2007
S&P;BBB-;stable;Apr 05 2007
Moody's;Baa3;stable;Oct 06 2006
S&P;BBB-;positive;Sep 05 2006
Fitch;BBB;stable;Aug 31 2006
Moody's;Ba1;positive watch;Jun 07 2006
S&P;BBB-;stable;Sep 06 2005
Moody's;Ba1;positive;Mar 02 2005
S&P;BB+;positive;Feb 01 2005
Fitch;BBB-;stable;Nov 17 2004
S&P;BB+;stable;Sep 14 2004
Fitch;BB;positive;Aug 23 2004
Fitch;BB-;stable;Dec 18 2003
Moody's;Ba3;stable;Dec 11 2003
Fitch;BB-;negative watch;Sep 24 2003
S&P;BB;positive;Sep 17 2003
S&P;BB-;positive;Feb 27 2003
Moody's;B1;stable;Dec 16 2002
Fitch;BB-;stable;Oct 30 2002
Fitch;B+;stable;Jun 14 2002
S&P;B+;positive;Apr 19 2002
Moody's;B2;stable;Dec 19 2001
Fitch;B;positive;Nov 14 2001
S&P;B;positive;Jun 07 2001
S&P;B-;positive;Mar 05 2001
Fitch;B;stable;Nov 16 2000
Fitch;B-;stable;Sep 21 2000
S&P;B-;stable;Aug 04 2000
Fitch;B-;n/a;Mar 24 1999
Fitch;B;n/a;Dec 23 1998
Moody's;B3;stable;Nov 06 1998
S&P;B-;negative;Oct 19 1998
Fitch;BB-;negative watch;Sep 23 1998
Moody's;B1;stable;Sep 14 1998
Moody's;Ba3;negative watch;Aug 07 1998
S&P;B+;stable;May 20 1998
S&P;BB-;negative watch;Mar 25 1997
S&P;BB-;stable;Mar 06 1996
Moody's;Ba3;stable;Mar 06 1996
Fitch;BB-;n/a;Mar 06 1996
