Agency;Rating;Outlook;Date
S&P;BBB+;positive;Apr 13 2018
Moody's;A2;stable;May 12 2017
S&P;BBB+;stable;Dec 02 2016
DBRS;A;negative;Jun 10 2016
Moody's;A2;negative;May 14 2016
S&P;BBB+;negative;Jan 15 2016
S&P;A-;positive;Feb 06 2015
Fitch;A-;stable;Aug 23 2013
Fitch;A-;positive;Feb 21 2013
S&P;A-;stable;Oct 27 2008
S&P;A-;positive;Feb 21 2008
S&P;A-;stable;Mar 29 2007
Fitch;A-;stable;Jan 18 2007
S&P;BBB+;stable;Apr 24 2006
Fitch;BBB+;positive;Mar 23 2005
S&P;BBB+;positive;Mar 22 2005
S&P;BBB+;stable;Oct 07 2004
Fitch;BBB+;stable;May 06 2004
Fitch;BBB+;positive;Nov 04 2003
S&P;BBB+;negative;Jun 23 2003
Moody's;A2;stable;Nov 12 2002
Fitch;BBB+;stable;Sep 21 2002
S&P;BBB+;stable;Aug 22 2001
S&P;BBB+;positive;Apr 12 2001
S&P;BBB+;stable;May 15 2000
Moody's;Baa1;stable;Sep 02 1999
S&P;BBB;positive;Jun 10 1999
Fitch;BBB+;n/a;Nov 19 1998
S&P;BBB-;positive;Jun 03 1997
Fitch;BBB;n/a;Jun 07 1996
Fitch;BB+;negative watch;Apr 29 1996
S&P;BBB-;stable;Apr 10 1996
Fitch;BB+;n/a;Oct 26 1995
S&P;BB;positive;Jun 01 1995
Moody's;Baa3;stable;Jun 01 1995
