Agency;Rating;Outlook;Date
S&P;BBB-;positive;Jun 01 2018
S&P;BBB-;stable;Dec 01 2017
Fitch;BBB;stable;Dec 01 2017
Fitch;BBB-;positive;Jun 02 2017
S&P;BB+;positive;Jun 02 2017
S&P;BB+;stable;Dec 12 2014
S&P;BBB-;stable;Jun 13 2014
Fitch;BBB-;stable;Jan 10 2014
S&P;BBB;negative;Dec 13 2013
Fitch;BBB-;stable;Dec 13 2011
Moody's;Baa2;stable;Jul 22 2011
Fitch;BBB-;positive;May 24 2011
Moody's;Baa3;positive watch;Apr 05 2011
S&P;BBB;stable;Dec 01 2009
Fitch;BBB-;negative;Apr 30 2009
Fitch;BBB-;stable;Nov 09 2008
S&P;BBB;negative;Oct 30 2008
S&P;BBB+;negative watch;Oct 23 2008
Fitch;BBB;negative;Jan 31 2008
S&P;BBB+;stable;Oct 26 2006
Moody's;Baa3;stable;Mar 01 2006
Moody's;Ba1;positive watch;Dec 21 2005
S&P;BBB;positive;Oct 27 2005
Fitch;BBB;stable;Aug 17 2005
S&P;BBB-;positive;Feb 10 2005
Moody's;Ba1;stable;Nov 17 2004
Moody's;Ba2;positive watch;Aug 25 2004
Fitch;BBB-;positive;Aug 04 2004
S&P;BBB-;stable;Jun 24 2004
Fitch;BB+;positive;Jul 24 2003
Moody's;Ba2;positive;Jun 05 2003
S&P;BB+;stable;May 22 2003
Moody's;B1;positive;Dec 16 2002
Fitch;BB;positive;Oct 29 2002
S&P;BB;positive;Oct 07 2002
Fitch;BB-;stable;Jan 14 2002
Moody's;B1;stable;Dec 19 2001
S&P;BB-;stable;Nov 07 2001
Fitch;B+;positive;Sep 21 2000
S&P;B+;positive;May 10 2000
S&P;B;positive;Nov 23 1998
Fitch;B+;n/a;Apr 17 1998
Moody's;B2;stable;Dec 26 1997
Moody's;B3;stable;Sep 27 1996
